City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,chemin grenier,-20.4872,57.4656,74.79,87,36,7.87,MU,1732491771
1,blackmans bay,-43.0167,147.3167,57.33,94,94,6.02,AU,1732491771
2,mersin,36.862,34.6509,43.52,45,2,8.08,TR,1732491488
3,albany,42.6001,-73.9662,38.53,66,71,3.0,US,1732491562
4,zeya,53.75,127.2667,12.0,93,100,2.91,RU,1732491567
5,belyy yar,53.6039,91.3903,19.29,93,75,0.0,RU,1732491772
6,bilibino,68.0546,166.4372,-16.4,96,100,2.01,RU,1732491772
7,badger,64.8,-147.5333,20.35,86,0,5.75,US,1732491772
8,simplicio mendes,-7.8539,-41.9103,83.26,52,70,4.38,BR,1732491772
9,ushuaia,-54.8,-68.3,47.86,49,40,11.5,AR,1732491717
10,souillac,-20.5167,57.5167,75.58,88,40,5.75,MU,1732491772
11,west island,-12.1568,96.8225,78.78,94,100,21.85,CC,1732491772
12,edinburgh of the seven seas,-37.0676,-12.3116,53.53,74,94,11.12,SH,1732491772
13,atafu village,-8.5421,-172.5159,83.39,73,21,12.93,TK,1732491773
14,biryusinsk,55.9634,97.8235,13.21,91,100,7.87,RU,1732491773
15,lebu,-37.6167,-73.65,54.95,88,0,2.19,CL,1732491773
16,grytviken,-54.2811,-36.5092,40.23,72,3,11.32,GS,1732491773
17,margaret river,-33.95,115.0667,59.25,72,79,19.84,AU,1732491688
18,talakan,50.3167,130.3667,16.59,81,100,4.34,RU,1732491773
19,brisas de zicatela,15.8369,-97.0419,82.92,78,0,4.61,MX,1732491773
20,yerofey pavlovich,53.9667,121.9667,10.9,95,100,1.88,RU,1732491773
21,anchorage,61.2181,-149.9003,33.91,89,40,1.99,US,1732491773
22,kruisfontein,-34.0033,24.7314,67.57,95,62,0.45,ZA,1732491773
23,port elizabeth,-33.918,25.5701,70.09,99,75,10.36,ZA,1732491773
24,waitangi,-43.9535,-176.5597,55.98,94,74,23.62,NZ,1732491773
25,tiksi,71.6872,128.8694,-8.37,91,81,13.91,RU,1732491774
26,port alfred,-33.5906,26.891,70.18,98,15,4.0,ZA,1732491774
27,salinopolis,-0.6136,-47.3561,80.6,81,52,11.77,BR,1732491508
28,saipan,15.1355,145.701,84.65,81,40,16.11,MP,1732491774
29,tambura,5.6,27.4667,72.61,49,18,3.56,SS,1732491774
30,adamstown,-25.066,-130.1015,72.16,66,44,15.82,PN,1732491774
31,papatowai,-46.5619,169.4708,64.45,51,69,12.88,NZ,1732491774
32,raja,8.4596,25.678,71.55,20,8,4.23,SS,1732491774
33,ilulissat,69.2167,-51.1,30.22,93,100,14.97,GL,1732491774
34,antonio enes,-16.2325,39.9086,77.86,87,100,2.91,MZ,1732491774
35,nemuro,43.3236,145.575,39.18,70,60,21.32,JP,1732491774
36,yellowknife,62.456,-114.3525,15.42,93,100,6.91,CA,1732491775
37,codrington,-38.2667,141.9667,66.51,72,100,8.59,AU,1732491775
38,santa elena de uairen,4.6167,-61.1333,69.37,84,53,2.89,VE,1732491775
39,khanty-mansiysk,61.0042,69.0019,30.31,59,0,15.66,RU,1732491487
40,alghero,40.5589,8.3181,48.29,81,0,3.44,IT,1732491775
41,kralendijk,12.15,-68.2667,84.18,79,20,17.27,BQ,1732491775
42,port-aux-francais,-49.35,70.2167,39.29,79,90,27.83,TF,1732491775
43,lata,40.1629,-8.3327,61.7,92,100,15.52,PT,1732491775
44,vorgashor,67.5833,63.95,24.17,93,100,18.12,RU,1732491775
45,arraial do cabo,-22.9661,-42.0278,71.02,77,3,14.25,BR,1732491775
46,luau,-10.7073,22.2247,64.6,96,100,3.6,AO,1732491523
47,hithadhoo,-0.6,73.0833,82.56,75,92,15.28,MV,1732491775
48,puerto natales,-51.7236,-72.4875,46.69,73,95,1.9,CL,1732491775
49,bonthe,7.5264,-12.505,80.15,83,2,4.68,SL,1732491776
50,mount pearl,47.5166,-52.7813,43.45,98,75,21.85,CA,1732491776
51,nianzishan,47.5167,122.8833,23.88,68,100,4.59,CN,1732491776
52,olyokminsk,60.3736,120.4264,-0.35,97,100,3.4,RU,1732491776
53,saudarkrokur,65.7461,-19.6394,25.47,67,87,9.46,IS,1732491776
54,merizo village,13.2658,144.6691,86.58,87,71,19.01,GU,1732491776
55,minas de marcona,-15.2119,-75.1103,58.86,80,58,12.48,PE,1732491776
56,jianguang,28.1938,115.7836,57.94,81,79,1.97,CN,1732491776
57,sitka,57.0531,-135.33,39.09,35,0,0.0,US,1732491776
58,nar'yan-mar,67.6713,53.087,27.05,90,94,25.7,RU,1732491776
59,gargalianoi,37.0667,21.6333,48.15,45,0,2.75,GR,1732491777
60,talara,-4.5772,-81.2719,67.28,88,88,13.35,PE,1732491777
61,saint lucia,-27.5,153.0,82.0,57,29,5.99,AU,1732491777
62,wailua homesteads,22.0669,-159.378,78.13,79,16,1.01,US,1732491777
63,lubang,13.8584,120.124,81.21,80,21,27.09,PH,1732491777
64,port mathurin,-19.6833,63.4167,76.23,73,20,16.75,MU,1732491777
65,roma,43.2128,-75.4557,39.34,88,100,10.36,US,1732491675
66,martapura,-3.4167,114.85,77.09,100,40,2.3,ID,1732491777
67,thompson,55.7435,-97.8558,5.16,92,100,12.66,CA,1732491777
68,tahla,34.0485,-4.428,65.46,37,85,3.98,MA,1732491777
69,dolinsk,47.35,142.8,30.7,69,41,7.76,RU,1732491778
70,sabang,5.8933,95.3214,80.98,81,100,11.03,ID,1732491778
71,cidreira,-30.1811,-50.2056,69.78,77,0,27.09,BR,1732491778
72,kone,-21.0595,164.8658,81.99,68,98,5.7,NC,1732491778
73,lihue,21.9789,-159.3672,78.75,79,17,2.15,US,1732491778
74,duekoue,6.7472,-7.3496,71.13,63,10,1.68,CI,1732491778
75,pangody,65.85,74.4859,33.96,95,100,21.09,RU,1732491778
76,sortavala,61.7053,30.6918,34.93,80,90,17.47,RU,1732491778
77,iqaluit,63.7506,-68.5145,28.13,86,100,10.36,CA,1732491778
78,gadzhiyevo,69.2551,33.3362,24.84,87,51,13.6,RU,1732491778
79,sandnessjoen,66.0217,12.6316,35.55,84,100,19.22,NO,1732491778
80,buka,40.8108,69.1986,43.61,35,35,3.31,UZ,1732491779
81,yantzaza,-3.8278,-78.7594,69.17,98,41,1.43,EC,1732491779
82,mangrol,21.1167,70.1167,72.86,54,10,8.77,IN,1732491779
83,kodiak,57.79,-152.4072,35.11,80,40,0.0,US,1732491779
84,hermanus,-34.4187,19.2345,65.8,89,100,3.24,ZA,1732491779
85,antalaha,-14.9003,50.2788,75.81,86,57,3.76,MG,1732491779
86,bethel,41.3712,-73.414,45.01,58,39,5.99,US,1732491779
87,island harbour,50.724,-1.2758,52.99,70,100,5.01,GB,1732491779
88,yoloten,37.2989,62.3597,53.91,57,17,8.37,TM,1732491779
89,olonkinbyen,70.9221,-8.7187,24.12,58,5,12.55,SJ,1732491779
90,ribeira grande,38.5167,-28.7,58.77,79,98,4.0,PT,1732491779
91,eirunepe,-6.6603,-69.8736,76.33,93,78,3.22,BR,1732491780
92,qaqortoq,60.7167,-46.0333,11.08,69,2,3.67,GL,1732491780
93,whitehorse,60.7161,-135.0538,3.02,84,40,19.57,CA,1732491780
94,margate,51.3813,1.3862,61.88,70,98,3.0,GB,1732491780
95,wuwei,37.9281,102.6414,14.09,58,72,6.76,CN,1732491780
96,kununurra,-15.7667,128.7333,87.78,70,86,0.0,AU,1732491780
97,remire-montjoly,4.9167,-52.2667,78.84,94,75,0.0,GF,1732491780
98,mala vyska,48.6431,31.6366,27.7,84,7,5.79,UA,1732491780
99,timbuktu,16.7735,-3.0074,76.53,15,0,10.38,ML,1732491780
100,trujillo,-8.116,-79.03,64.36,82,20,11.5,PE,1732491606
101,cheney,47.4874,-117.5758,38.28,96,100,5.75,US,1732491780
102,anadyr,64.75,177.4833,16.3,85,20,11.18,RU,1732491781
103,henderson,36.0397,-114.9819,66.22,28,0,11.5,US,1732491651
104,longyearbyen,78.2186,15.6401,19.24,68,40,10.36,SJ,1732491781
105,hailar,49.2,119.7,16.74,94,100,4.34,CN,1732491781
106,lagoa,39.05,-27.9833,60.4,53,86,5.99,PT,1732491781
107,kingston,17.997,-76.7936,77.95,89,100,10.36,JM,1732491702
108,avarua,-21.2078,-159.775,80.65,74,75,10.36,CK,1732491781
109,acapulco de juarez,16.8634,-99.8901,84.02,74,75,8.05,MX,1732491781
110,kristiansund,63.1115,7.732,41.65,65,74,3.44,NO,1732491781
111,gunsan,35.9786,126.7114,40.89,81,75,3.44,KR,1732491782
112,cabo san lucas,22.8909,-109.9124,86.31,30,0,14.97,MX,1732491782
113,labrador city,52.9463,-66.9114,31.17,95,100,11.99,CA,1732491782
114,warmbad,-28.45,18.7333,69.93,39,22,9.57,,1732491782
115,rio grande,-32.035,-52.0986,69.22,82,0,22.01,BR,1732491782
